AED	assembly_p_ctg.all.maker.noseq.renamed.gff
0.000	0.073
0.025	0.127
0.050	0.212
0.075	0.261
0.100	0.328
0.125	0.365
0.150	0.408
0.175	0.431
0.200	0.460
0.225	0.481
0.250	0.516
0.275	0.541
0.300	0.587
0.325	0.618
0.350	0.667
0.375	0.691
0.400	0.742
0.425	0.791
0.450	0.849
0.475	0.911
0.500	0.965
0.525	0.976
0.550	0.979
0.575	0.981
0.600	0.985
0.625	0.988
0.650	0.991
0.675	0.992
0.700	0.994
0.725	0.994
0.750	0.996
0.775	0.996
0.800	0.998
0.825	0.998
0.850	0.999
0.875	0.999
0.900	0.999
0.925	1.000
0.950	1.000
0.975	1.000
1.000	1.000
